player_name,mmr,player_teams,matches,reliable_mmr,stratz_mmr
cookies,7175.835865938757,"[""'Nanner Grippers"", 'Ensō', 'Go play offlane', ""Daddy's ENGORGED Dictatorship"", 'Savage Spirits']",37,True,7200.0
1 last time,7170.268467492507,"['Coked up (cute) Kobolds', 'I am > I was', 'OTF', 'Team Krill Eater', '10toes', 'GRIN Scythe', 'Rod of a Toast']",66,True,7300.0
AZ,7159.269949551376,"['animal enclosure', 'Rats and Bunnies', ""Harambe's Homies"", 'PSGS', 'Gucci Coffin', '4 NOOBS 1 TROLLBUS', 'GRIN Scythe']",59,True,7300.0
Stretchy Arms,7158.1987555661435,['Helmets On'],87,True,7100.0
✪Alareiks✪,7155.288246080518,['sheeesh'],20,True,7200.0
Ponquist,7154.105568174458,['GRIN Smoke'],21,True,7300.0
Beejack Honeydew,7150.118837263088,"['Eldrazi', 'Pot Of Greed']",29,True,7200.0
Akro,7142.404648239639,['GRIN Fury'],64,True,7400.0
frost,7137.52164885643,"['PSGS', 'Bubble Team', 'Plinks of Golf?', 'Golf Thirstday?', 'Savage Spirits']",72,True,7200.0
Peter Buttermilk,7128.332183905958,['New Rebellion'],20,False,7000.0
Khalsa GM,7126.886887786995,['SpookyScarySkeletons'],23,True,7100.0
Animal I Have Become,7124.5761516563925,"['Dually Truck Hentai Warriors', 'Dually Truck Dumpster-Fire', 'GRIN Scythe', 'Dually Truck Diesel Drinkers']",47,True,7300.0
LFT Next AD2L Szn,7117.8915728849,"['Ensō', 'Bubble Team', '2FrogsSoftware', 'Gucci Coffin', 'GRIN Rat Society', 'Slow Twitch Muscle Fibers', 'GRIN Fury']",83,True,7200.0
ClowD,7115.492218954757,"['Simple Chemistry', 'Slow Twitch Muscle Fibers', '7dark Thirty', 'Rod of a Toast']",76,True,7200.0
Winkx,7114.912848531687,"['Honey Beesports', 'Slugpups', 'SlugWolves']",40,True,7300.0
Profanity,7112.296858607091,['The Rejects'],20,True,7100.0
JDFM,7109.944857464438,"['Island in the Winter Sun', 'Conquerors of the Island in the Sun', 'Dually Truck RoadRunners']",28,True,7100.0
라일리,7108.081453534373,"['DinoMight', 'Savage Saints', 'Savage Spirits']",95,True,7100.0
Princess,7104.373206849726,['Calamity Crew'],27,True,7200.0
Younghoe Koo,7102.868795105552,"['GRIN Scythe', 'GRIN Fury']",34,True,7200.0
Gift,7096.425526100851,"['mosin on valley', 'Savage Spirits']",20,True,7100.0
Abmis,7091.092030096227,['GRIN Scythe'],48,True,7100.0
Dragoness,7086.297326195183,"['Dually Truck Hentai Warriors', 'Rats and Bunnies', 'mosin on valley']",32,True,7100.0
SSC,7082.565597542025,"['Gucci Coffin', 'PRESTIGE WORLDWIDE', ""Harambe's Homies""]",20,True,7100.0
Manoy,7079.302154434029,"['Rats and Bunnies', 'texts go green', 'Brain Damage', 'LF Danny Playoff Replacement', 'Pizzadog Academy', 'Team Ligma', ""Daddy's ENGORGED Dictatorship""]",57,True,7200.0
FLYDOM,7069.4766150957375,['Team Mochi'],99,True,6600.0
TINWCD,7056.222688089145,['Jackson 5'],29,True,7200.0
milkboxxy,7054.043084716192,"['Bubble Team', 'Waist of Golf?', 'Jukes Angels', 'Plinks of Golf?', 'Golf Thirstday?']",80,True,7200.0
GeeR3,7053.085059102532,"['Dually Truck Hentai Warriors', 'PSGS', 'Pot Of Greed']",51,True,7100.0
CHEESE BREAD,7050.621059208268,"['Veni Vidi Vici', 'Savage Sabers']",24,True,7200.0
IPwnedAIDS,7050.41945217226,"['Dark Horse Storm', 'Rodents and Hares Pest Control', 'Rats and Bunnies', 'Simple Chemistry', '7dark Thirty', 'Slow Twitch Muscle Fibers', 'Dark Horse Vitality', 'Rod of a Toast', 'GRIN Smoke']",96,True,7100.0
Clarkles,7029.232826945632,"['Average Krill Eaters', 'GRIN Rat Society', 'Team Krill Eater']",46,True,7200.0
Merrill Howard Kalin,7017.309407929456,['Merrill Howard Kalin Fan Club'],39,True,7100.0
JBay7,7007.058315899348,"['Rats and Bunnies', 'Reverse Smurfs', 'j', 'e', 'Have Mercii Daddy', 'LF Danny Playoff Replacement', 'Teens Love Huge Clocks']",79,True,7200.0
ReVamp,7004.158536221601,"['Savage Saints', 'GRIN Prism', 'Pizzadog.JV', 'Dota Under the Influence', 'Dumpster Fire', 'Idiots', 'GRIN Scythe', 'Savage Spirits']",89,True,7100.0
Banach,6979.173989731241,"['Heroes of Golf?', ""Brit I'm a Dog, Woof! Brrr"", 'Golf Monday?', 'Twinks and The Twinker', 'Golf Tuesday?']",80,True,6500.0
♫Harmony♬,6970.102198066267,"['Discovery', 'Slugpups', 'Slugcats', 'Pizzadog.JV', 'T12186', 'Dumpster Fire', 'Idiots', ""Elsa's Boiz <3 <3 <3""]",31,True,7100.0
MC_Flowerpot,6958.238091855026,"['WAP', 'dXo-Warrior', '2FrogsSoftware']",30,True,7100.0
Sleepy,6935.415211996485,['Dark Horse Storm'],26,True,7100.0
Orion,6931.237166781917,"['Average Krill Eaters', 'Remove Radiance From The Game', 'Rats and Bunnies', 'Team Krill Eater']",81,True,7100.0
GlHf,6914.652435905509,"['beignet boys', 'Grillin and Chillin', 'Cerviche Molotov']",32,False,6825.0
