player_name,mmr,player_teams,matches,reliable_mmr,stratz_mmr
4thwrldmrshl,7147.573660457801,"['Conquerors of the Island in the Sun', 'Ensō', 'The Bathtub Club', 'dXo-Rejects', 'The Rejects']",81,True,8000.0
Black-up,7146.740554750324,"['Golf Monday?', ""Helmet's On"", 'Rats and Bunnies', 'Helmets On']",113,True,5500.0
Russ,7140.948119580536,['SpookyScarySkeletons'],21,True,7200.0
JDFM,7139.354120146509,"['Island in the Winter Sun', 'Conquerors of the Island in the Sun', 'Dually Truck RoadRunners']",28,True,7100.0
Aynek,7134.268695810672,['SpookyScarySkeletons'],23,True,7200.0
Slave to Winning,7117.210832289382,"['Crime Time', 'The Whimsical Afrasians', 'Golf Monday?', ""Brit I'm a Dog, Woof! Brrr"", 'Coked up (cute) Kobolds', 'Los Animales de Golf?', 'Waist of Time', 'Waist of Golf?', 'Daggers in my coco', 'Golf Tuesday?']",92,True,6300.0
Abmis,7117.082416665958,['GRIN Scythe'],48,True,7100.0
Lorenzo,7110.48856092459,"['Coked up (cute) Kobolds', 'Average Krill Eaters', 'Ape Express', 'Team Krill Eater']",54,True,8000.0
Sync,7108.731044590228,['Calamity Crew'],37,True,8000.0
Last Son of Krypton,7106.816670924324,['Savage Spirits'],79,True,7500.0
Welshy,7104.237855868241,['Pot Of Greed'],20,True,7400.0
Khalsa GM,7102.611843604545,['SpookyScarySkeletons'],23,True,7100.0
Pony,7088.182491311355,"['Scion and the 4 plebs', 'Go play offlane']",37,True,6500.0
Gift,7085.339616812291,"['mosin on valley', 'Savage Spirits']",20,True,7100.0
printer,7078.110860212892,['Savage Spirits'],90,True,8000.0
Plate,7072.19562488832,"[""'Nanner Grippers"", 'GRIN Prism', 'Sounding Club', 'Savage Spirits']",20,True,7300.0
라일리,7064.625361422091,"['DinoMight', 'Savage Saints', 'Savage Spirits']",95,True,7100.0
Lapsed Pacifist,7063.069732622082,"['Jackson 5', 'Savage Spirits']",90,True,6400.0
Time's,7061.81165139714,['dXo-Rejects'],22,True,7300.0
JJnok,7050.432084602243,"['Island in the Winter Sun', 'Conquerors of the Island in the Sun', 'Slugcats']",73,True,8000.0
Achilles,7046.975106276399,['7dark Thirty'],33,True,7400.0
mr worldwide,7042.692039985278,"['Coked up (cute) Kobolds', 'Jukes Angels', 'Digital Habitat']",45,True,7300.0
DH. Jukester,7040.154038347351,"['Golf Monday?', 'Coked up (cute) Kobolds', 'I am > I was', 'Nat 20', 'Bubble Team', 'Digital Habitat', '10toes', 'Jukes Angels']",73,True,7300.0
cookies,7039.489728199854,"[""'Nanner Grippers"", 'Ensō', 'Go play offlane', ""Daddy's ENGORGED Dictatorship"", 'Savage Spirits']",37,True,7200.0
UnrulyBear,7035.495428335634,"['good for ducks, good for me']",23,True,6500.0
frost,7025.012633149168,"['PSGS', 'Bubble Team', 'Plinks of Golf?', 'Golf Thirstday?', 'Savage Spirits']",72,True,7200.0
Beejack Honeydew,7021.860303975268,"['Eldrazi', 'Pot Of Greed']",29,True,7200.0
cartographer,7018.590246113234,"['Coked up (cute) Kobolds', 'Average Krill Eaters', 'Los Animales de Golf?', 'Does This Game have Fall Damage?', 'Digital Habitat', 'Team Krill Eater', 'Go play offlane', 'Calamity Crew']",96,True,7300.0
Dragoness,7014.386887799916,"['Dually Truck Hentai Warriors', 'Rats and Bunnies', 'mosin on valley']",32,True,7100.0
Nigerian White,7013.0420307378645,['Zealous Gaming'],36,True,7300.0
butthealth,7011.208458554802,"['Dark Horse Storm', ""'Nanner Grippers"", 'Rats and Bunnies', 'Nameless', 'OTF', 'SMD9813', 'Waist of Golf?', ""Daddy's ENGORGED Dictatorship"", 'Savage Sabers', 'GRIN Smoke']",125,True,7600.0
phoenix,6997.304098676798,"['GRIN Scythe', 'GRIN Prism']",60,True,7400.0
✪Alareiks✪,6990.086617193625,['sheeesh'],20,True,7200.0
GeeR3,6984.6896598923795,"['Dually Truck Hentai Warriors', 'PSGS', 'Pot Of Greed']",51,True,7100.0
Forgotten,6980.7878609395975,"['Pot Of Greed', 'PSGS', 'Eldrazi', 'Savage Spirits']",60,False,6372.222222222223
LFT Next AD2L Szn,6980.556950439096,"['Ensō', 'Bubble Team', '2FrogsSoftware', 'Gucci Coffin', 'GRIN Rat Society', 'Slow Twitch Muscle Fibers', 'GRIN Fury']",83,True,7200.0
SSC,6976.20270004448,"['Gucci Coffin', 'PRESTIGE WORLDWIDE', ""Harambe's Homies""]",20,True,7100.0
Daddy Odin,6959.435904758202,"['Savage Saints', 'Rats and Bunnies', 'Conquerors of the Island in the Sun', 'Ensō', 'Island in the Winter Sun', 'Baja Blasters', 'The Rejects', 'Calamity Crew']",89,True,7500.0
ClowD,6942.576925949944,"['Simple Chemistry', 'Slow Twitch Muscle Fibers', '7dark Thirty', 'Rod of a Toast']",76,True,7200.0
1 last time,6935.128471727342,"['Coked up (cute) Kobolds', 'I am > I was', 'OTF', 'Team Krill Eater', '10toes', 'GRIN Scythe', 'Rod of a Toast']",66,True,7300.0
IPwnedAIDS,6930.3578853105055,"['Dark Horse Storm', 'Rodents and Hares Pest Control', 'Rats and Bunnies', 'Simple Chemistry', '7dark Thirty', 'Slow Twitch Muscle Fibers', 'Dark Horse Vitality', 'Rod of a Toast', 'GRIN Smoke']",96,True,7100.0
MyM.Slayer,6923.959159313669,"['Simple Chemistry', 'Slow Twitch Muscle Fibers', '7dark Thirty', 'Rod of a Toast']",83,True,6500.0
Chubbs,6922.7004865967465,"['Dually Truck Hentai Warriors', 'GRIN Scythe', 'Dually Truck RoadRunners']",39,True,7500.0
twubz,6919.914246971795,['Merrill Howard Kalin Fan Club'],39,True,7300.0
ReVamp,6916.706724728339,"['Savage Saints', 'GRIN Prism', 'Pizzadog.JV', 'Dota Under the Influence', 'Dumpster Fire', 'Idiots', 'GRIN Scythe', 'Savage Spirits']",89,True,7100.0
lostperson,6915.506217443649,"['Merrill Howard Kalin Fan Club', ""'Nanner Grippers"", 'Team Ligma']",39,True,7500.0
Marine,6906.769072053155,"['OTF', 'Team Ligma']",22,True,7300.0
AZ,6904.630838199229,"['animal enclosure', 'Rats and Bunnies', ""Harambe's Homies"", 'PSGS', 'Gucci Coffin', '4 NOOBS 1 TROLLBUS', 'GRIN Scythe']",59,True,7300.0
fortniteman,6886.192208563922,"['Coked up (cute) Kobolds', ""'Nanner Grippers"", ""Daddy's ENGORGED Dictatorship"", 'Los Animales de Golf?']",82,True,6300.0
milkboxxy,6878.21541532047,"['Bubble Team', 'Waist of Golf?', 'Jukes Angels', 'Plinks of Golf?', 'Golf Thirstday?']",80,True,7200.0
Darthwalker,6868.00428554901,['The Rejects'],23,True,6300.0
Tempest嵐,6864.67000755895,['Calamity Crew'],47,True,8000.0
GNX,6861.18668334159,"['OTF', 'Team Samsara', 'Rod of a Toast', 'Team Ligma']",72,True,8000.0
Raddialin,6856.3191622626155,"['Dually Truck Hentai Warriors', 'dXo-Champion']",22,True,6700.0
Princess,6827.433171118645,['Calamity Crew'],27,True,7200.0
panda,6827.413835342038,"['SMD9813', 'sheeesh']",22,True,6500.0
(BP)Bluntman(Chronic),6826.038862536405,"['OTF', 'Team Samsara']",28,True,7400.0
